City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,Faanui,-16.4833,-151.75,298.98,75,13,2.86,PF,2022-10-20 00:08:50
106,Ilulissat,69.2167,-51.1,270.16,86,100,1.54,GL,2022-10-20 00:08:51
107,Chuy,-33.6971,-53.4616,287.79,97,24,2.84,UY,2022-10-20 00:08:51
108,Luderitz,-26.6481,15.1594,288.44,91,8,7.62,NA,2022-10-20 00:08:51
109,Nsoko,-27.0333,31.95,292.96,85,71,1.29,SZ,2022-10-20 00:08:52
110,Namibe,-15.1961,12.1522,290.37,89,24,2.6,AO,2022-10-20 00:08:52
111,Atuona,-9.8,-139.0333,298.06,73,2,5.61,PF,2022-10-20 00:07:29
112,Olinda,-8.0089,-34.8553,298.06,74,8,5.76,BR,2022-10-20 00:08:53
113,Ishigaki,24.3448,124.1572,297.71,73,100,12.32,JP,2022-10-20 00:08:53
114,Inuvik,68.3499,-133.7218,269.57,93,100,4.12,CA,2022-10-20 00:07:39
115,Dingle,10.9995,122.6711,300.08,82,99,0.7,PH,2022-10-20 00:08:54
116,Hue,16.4667,107.6,294.21,83,75,5.14,VN,2022-10-20 00:08:54
117,Hobyo,5.3505,48.5268,298.44,84,50,7.86,SO,2022-10-20 00:08:54
118,Hithadhoo,-0.6,73.0833,299.89,78,96,3.52,MV,2022-10-20 00:08:55
119,Tuktoyaktuk,69.4541,-133.0374,270.67,88,100,3.07,CA,2022-10-20 00:08:55
120,Yar-Sale,66.8333,70.8333,274.61,96,99,7.32,RU,2022-10-20 00:08:55
121,Maraa,-1.8333,-65.3667,296.94,97,100,0.87,BR,2022-10-20 00:08:56
122,Kodiak,57.79,-152.4072,283.88,50,0,3.09,US,2022-10-20 00:08:56
123,Half Moon Bay,37.4636,-122.4286,306.18,44,0,8.75,US,2022-10-20 00:08:56
124,Santo Andre,-23.6639,-46.5383,296.77,74,0,1.03,BR,2022-10-20 00:06:47
125,Orlik,52.5178,99.825,268.67,70,70,1.55,RU,2022-10-20 00:08:57
126,San Carlos De Bariloche,-41.1456,-71.3082,284.27,63,59,4.3,AR,2022-10-20 00:08:57
127,Camana,-16.6228,-72.7111,290.23,82,47,3.47,PE,2022-10-20 00:08:57
128,Mahajanga,-15.7167,46.3167,294.16,64,0,2.57,MG,2022-10-20 00:08:58
129,Castro,-24.7911,-50.0119,289.92,93,43,0.97,BR,2022-10-20 00:07:22
130,Yamada,39.4667,141.95,286.7,52,1,1.02,JP,2022-10-20 00:08:58
